id	date	low	open	close	high	volume	market_cap	ups	downs	score	num_comments	created	82	842	19:00:18
2	24/03/18	8,665.70	8,901.95	8,668.12	8,996.18	5,664,600,000	150,762,000,000	57	0	57	648	19:00:39
3	23/03/18	8,360.62	8,736.25	8,879.62	8,879.62	5,954,120,000	147,941,000,000	84	0	84	1052	19:00:04
4	22/03/18	8,564.90	8,939.44	8,728.47	9,100.71	5,530,390,000	151,366,000,000	70	0	70	820	19:00:40
5	21/03/18	8,846.33	8,937.48	8,929.28	9,177.37	6,043,130,000	151,316,000,000	95	0	95	861	19:00:59
6	20/03/18	8,389.89	8,619.67	8,913.47	9,051.02	6,361,790,000	145,922,000,000	75	0	75	491	19:00:42
7	19/03/18	8,182.40	8,344.12	8,630.65	8,675.87	6,729,110,000	141,240,000,000	106	0	106	1718	19:00:11
8	18/03/18	7,397.99	7,890.52	8,223.68	8,245.51	6,639,190,000	133,547,000,000	89	0	89	1508	19:00:28
9	17/03/18	7,812.82	8,321.91	7,916.88	8,346.53	4,426,150,000	140,834,000,000	52	0	52	483	19:00:50
10	16/03/18	8,005.31	8,322.91	8,338.35	8,585.15	5,289,380,000	140,834,000,000	101	0	101	1987	19:00:12
11	15/03/18	7,783.05	8,290.76	8,300.86	8,428.35	6,834,430,000	140,275,000,000	99	0	99	2202	02:52:32
12	14/03/18	8,068.59	9,214.65	8,269.81	9,355.85	6,438,230,000	155,891,000,000	92	0	92	1738	19:00:49
13	13/03/18	8,958.19	9,173.04	9,194.85	9,470.38	5,991,140,000	155,168,000,000	68	0	68	1127	19:00:12
14	12/03/18	8,956.43	9,602.93	9,205.12	9,937.50	6,457,400,000	162,421,000,000	52	0	52	719	19:00:36
15	11/03/18	8,607.12	8,852.78	9,578.63	9,711.89	6,296,370,000	149,716,000,000	54	0	54	584	19:01:33
16	10/03/18	8,828.47	9,350.59	8,866.00	9,531.32	5,386,320,000	158,119,000,000	57	0	57	510	19:00:51
17	09/03/18	8,513.03	9,414.69	9,337.55	9,466.35	8,704,190,000	159,185,000,000	47	0	47	404	19:00:42
18	08/03/18	9,335.87	9,951.44	9,395.01	10,147.40	7,186,090,000	168,241,000,000	85	0	85	444	19:00:07
19	07/03/18	9,692.12	10,803.90	9,965.57	10,929.50	8,797,910,000	182,631,000,000	57	0	57	465	19:00:38
20	06/03/18	10,694.30	11,500.10	10,779.90	11,500.10	6,832,170,000	194,378,000,000	56	0	56	516	19:01:48
21	05/03/18	11,443.90	11,532.40	11,573.30	11,704.10	6,468,540,000	194,903,000,000	63	0	63	671	19:00:10
22	04/03/18	11,136.10	11,497.40	11,512.60	11,512.60	6,084,150,000	194,289,000,000	57	0	57	400	19:00:34
23	03/03/18	11,002.40	11,101.90	11,489.70	11,528.20	6,690,570,000	187,581,000,000	65	0	65	489	19:01:48
24	02/03/18	10,850.10	10,977.40	11,086.40	11,189.00	7,620,590,000	185,456,000,000	51	0	51	341	19:00:17
25	01/03/18	10,352.70	10,385.00	10,951.00	11,052.30	7,317,280,000	175,427,000,000	68	0	68	516	19:00:40
26	28/02/18	10,393.10	10,687.20	10,397.90	11,089.80	6,936,190,000	180,510,000,000	55	0	55	652	19:00:10
27	27/02/18	10,246.10	10,393.90	10,725.60	10,878.50	6,966,180,000	175,536,000,000	53	0	53	765	19:00:39
28	26/02/18	9,501.73	9,669.43	10,366.70	10,475.00	7,287,690,000	163,283,000,000	43	0	43	824	19:00:06
